religion, under10k, btw10and20k, btw20and30k, btw30and40k, btw40and50k, btw50and75k, btw75and100k, btw100and150k, over150k, DoNotKnowOrRefused
Agnostic,27,34,60,81,76,137,122,109,84,96
Atheist,12,27,37,52,35,70,73,59,74,76
Buddhist,27,21,30,34,33,58,62,39,53,54
Catholic,418,617,732,670,638,1116,949,792,633,1489
DoNotKnowOrRefused,15,14,15,11,10,35,21,17,18,116
EvangelicalProt,575,869,1064,982,881,1486,949,723,414,1529
Hindu,1,9,7,9,11,34,47,48,54,37
HistoricallyBlackProt,228,244,236,238,197,223,131,81,78,339
JehovahsWitness,20,27,24,24,21,30,15,11,6,37
Jewish,19,19,25,25,30,95,69,87,151,162
MainlineProt,289,495,619,655,651,1107,939,753,634,1328
Mormon,29,40,48,51,56,112,85,49,42,69
Muslim,6,7,9,10,9,23,16,8,6,22
Orthodox,13,17,23,32,32,47,38,42,46,73
OtherChristian,9,7,11,13,13,14,18,14,12,18
OtherFaiths,20,33,40,46,49,63,46,40,41,71
OtherWorldReligions,5,2,3,4,2,7,3,4,4,8
Unaffiliated,217,299,374,365,341,528,407,321,258,597